objid,ra,dec,u,g,r,i,z
588848899934128297,229.062232,-0.104452,22.469,21.751,21.417,21.204,21.417
588848899934128298,229.061779,-0.102658,23.251,22.078,21.685,21.52,21.757
588848899934128304,229.060495,-0.108505,22.245,22.045,21.693,21.441,21.712
588848899934128305,229.061409,-0.1098,23.357,22.403,21.861,21.667,22.303
588848899934128546,228.964409,-0.10703,23.562,22.507,22.13,22.323,21.448
588848899934128563,228.964665,-0.114509,23.089,21.998,21.101,20.736,20.51
588848899934128564,228.966219,-0.114138,23.666,22.729,22.421,21.975,21.963
588848899934128568,228.967407,-0.095674,22.575,22.001,21.7,21.529,21.499
588848899934128578,228.968967,-0.084264,24.056,22.632,22.656,22.114,22.367
588848899934128581,228.970084,-0.088801,23.281,22.155,21.775,21.592,22.277
588848899934128635,228.978644,-0.142184,25.116,22.7,22.372,22.093,21.929
588848899934128652,228.980767,-0.071034,23.636,22.106,21.527,21.238,21.385
588848899934128708,228.987442,-0.06957,23.017,21.784,21.423,21.272,21.222
588848899934128748,228.992201,-0.149613,22.598,21.804,21.34,21.232,21.025
588848899934128755,228.993242,-0.151386,23.498,22.456,21.924,21.614,21.61
588848899934128760,228.995292,-0.1538,23.722,22.689,22.35,22.101,21.336
588848899934128769,228.997051,-0.153889,23.698,23.237,22.365,22.342,22.233
588848899934128812,229.005028,-0.059752,23.579,22.514,22.202,21.984,21.663
588848899934128830,229.007185,-0.153738,23.012,22.623,22.235,22.232,21.938
588848899934128851,229.008906,-0.059722,24.155,22.171,21.724,21.581,22.479
588848899934128947,229.024483,-0.154079,24.869,23.272,22.741,22.373,22.043
588848899934128971,229.027917,-0.155501,24.467,22.397,22.099,21.827,21.892
588848899934129020,229.036757,-0.067073,24.07,23.185,22.248,22.277,22.323
588848899934129095,229.047679,-0.075985,25.602,24.199,22.466,21.668,21.573
588848899934129096,229.047563,-0.074413,23.781,22.236,21.863,21.883,21.322
588848899934129144,229.053523,-0.085917,22.909,23.146,23.042,22.055,21.346
588848899934129150,229.054996,-0.083174,25.865,23.154,21.874,21.282,21.295
588848899934129152,229.054373,-0.084574,24.289,22.418,21.798,21.715,21.556
588848899934129154,229.056656,-0.08441,23.689,22.403,22.133,21.846,21.998
588848899934129180,229.057376,-0.125375,23.428,22.245,21.68,21.568,21.631
588848899934129181,229.057984,-0.126473,22.938,22.817,21.995,22.079,22.252
588848899934129184,229.058928,-0.115907,23.262,22.299,21.711,21.652,21.556
588848899934129185,229.059534,-0.092662,24.965,22.999,22.154,21.944,21.351
588848899934129471,229.059858,-0.100771,23.628,23.589,22.734,22.747,22.025
588848899934129512,228.978849,-0.076843,24.687,24.222,23.117,22.17,21.286
